Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,FETCH_SIZE
41,"__amd_rocclr_fillBufferAligned.kd",1,0,45,4395,4395,256,256,0,0,12,4,48,64,0x0,0x7600d6e9b580,6.7500000000
42,"__amd_rocclr_fillBufferAligned.kd",1,0,46,4395,4395,256,256,0,0,12,4,48,64,0x0,0x7600d6e9b580,3.6250000000
43,"__amd_rocclr_copyBuffer.kd",1,0,47,4395,4395,512,512,0,0,16,0,32,64,0x7600d5ffed80,0x7600d6e9b600,6.3750000000
44,"__amd_rocclr_fillBufferAligned.kd",1,0,48,4395,4395,256,256,0,0,12,4,48,64,0x0,0x7600d6e9b580,6.7500000000
45,"__amd_rocclr_fillBufferAligned.kd",1,0,49,4395,4395,256,256,0,0,12,4,48,64,0x0,0x7600d6e9b580,6.7500000000
46,"__amd_rocclr_copyBuffer.kd",1,0,50,4395,4395,512,512,0,0,16,0,32,64,0x7600d5ffcb80,0x7600d6e9b600,4.3750000000
47,"__amd_rocclr_fillBufferAligned.kd",1,0,51,4395,4395,512,256,0,0,12,4,48,64,0x0,0x7600d6e9b580,10.5000000000
48,"__amd_rocclr_fillBufferAligned.kd",1,0,52,4395,4395,512,256,0,0,12,4,48,64,0x0,0x7600d6e9b580,8.1250000000
49,"__amd_rocclr_fillBufferAligned.kd",1,0,53,4395,4395,4096,256,0,0,12,4,48,64,0x0,0x7600d6e9b580,33.0000000000
50,"__amd_rocclr_fillBufferAligned.kd",1,0,54,4395,4395,768,256,0,0,12,4,48,64,0x0,0x7600d6e9b580,10.8750000000
51,"__amd_rocclr_fillBufferAligned.kd",1,0,55,4395,4395,1280,256,0,0,12,4,48,64,0x0,0x7600d6e9b580,21.7500000000
52,"__amd_rocclr_fillBufferAligned.kd",1,0,56,4395,4395,33024,256,0,0,12,4,48,64,0x0,0x7600d6e9b580,29.3750000000
53,"__amd_rocclr_fillBufferAligned.kd",1,0,57,4395,4395,512,256,0,0,12,4,48,64,0x0,0x7600d6e9b580,10.5000000000
54,"__amd_rocclr_fillBufferAligned.kd",1,0,58,4395,4395,2816,256,0,0,12,4,48,64,0x0,0x7600d6e9b580,31.0000000000
55,"__amd_rocclr_fillBufferAligned.kd",1,0,59,4395,4395,4096,256,0,0,12,4,48,64,0x0,0x7600d6e9b580,33.0000000000
56,"__amd_rocclr_fillBufferAligned.kd",1,0,60,4395,4395,4096,256,0,0,12,4,48,64,0x0,0x7600d6e9b580,33.0000000000
57,"__amd_rocclr_fillBufferAligned.kd",1,0,61,4395,4395,25600,256,0,0,12,4,48,64,0x0,0x7600d6e9b580,29.0000000000
58,"__amd_rocclr_fillBufferAligned.kd",1,0,62,4395,4395,256,256,0,0,12,4,48,64,0x0,0x7600d6e9b580,6.7500000000
59,"__amd_rocclr_fillBufferAligned.kd",1,0,63,4395,4395,256,256,0,0,12,4,48,64,0x0,0x7600d6e9b580,4.7500000000
60,"__amd_rocclr_fillBufferAligned.kd",1,0,64,4395,4395,256,256,0,0,12,4,48,64,0x0,0x7600d6e9b580,6.7500000000
61,"__amd_rocclr_fillBufferAligned.kd",1,0,65,4395,4395,256,256,0,0,12,4,48,64,0x0,0x7600d6e9b580,4.2500000000
62,"__amd_rocclr_fillBufferAligned.kd",1,0,66,4395,4395,256,256,0,0,12,4,48,64,0x0,0x7600d6e9b580,6.7500000000
63,"__amd_rocclr_fillBufferAligned.kd",1,0,67,4395,4395,13824,256,0,0,12,4,48,64,0x0,0x7600d6e9b580,31.0000000000
64,"__amd_rocclr_fillBufferAligned.kd",1,0,68,4395,4395,16640,256,0,0,12,4,48,64,0x0,0x7600d6e9b580,33.0000000000
65,"__amd_rocclr_fillBufferAligned.kd",1,0,70,4395,4395,16640,256,0,0,12,4,48,64,0x0,0x7600d6e9b580,33.0000000000
66,"__amd_rocclr_fillBufferAligned.kd",1,0,73,4395,4395,256,256,0,0,12,4,48,64,0x0,0x7600d6e9b580,6.7500000000
67,"fleet_probe_xcc(unsigned int*) [clone .kd]",1,1,1,4395,4395,77824,256,0,0,4,4,16,64,0x0,0x7600d6b40b00,24.7500000000
68,"__amd_rocclr_copyBuffer.kd",1,0,75,4395,4395,512,512,0,0,16,0,32,64,0x7600d5ffc580,0x7600d6e9b600,6.2500000000
69,"__amd_rocclr_copyBuffer.kd",1,0,77,4395,4395,512,512,0,0,16,0,32,64,0x7600d5ffc480,0x7600d6e9b600,6.2500000000
70,"__amd_rocclr_fillBufferAligned.kd",1,0,78,4395,4395,256,256,0,0,12,4,48,64,0x0,0x7600d6e9b580,8.8750000000
71,"__amd_rocclr_fillBufferAligned.kd",1,1,4,4395,4395,256,256,0,0,12,4,48,64,0x0,0x7600d6e9b580,6.6250000000
72,"fleet_decode_step.kd",1,2,0,4395,4395,77824,256,25600,48,128,216,112,64,0x0,0x7600d6b40ac0,20805896.0000000000
73,"__amd_rocclr_copyBuffer.kd",1,0,80,4395,4395,1024,1024,0,0,16,0,32,64,0x7600d5ffc380,0x7600d6e9b600,6.2500000000
74,"__amd_rocclr_copyBuffer.kd",1,0,81,4395,4395,512,512,0,0,16,0,32,64,0x7600d5ffc300,0x7600d6e9b600,6.2500000000
75,"__amd_rocclr_copyBuffer.kd",1,0,82,4395,4395,512,512,0,0,16,0,32,64,0x7600d5ffc280,0x7600d6e9b600,4.6250000000
