Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,FETCH_SIZE
41,"__amd_rocclr_fillBufferAligned.kd",1,0,45,4430,4430,256,256,0,0,12,4,48,64,0x0,0x7dd73af43580,6.7500000000
42,"__amd_rocclr_fillBufferAligned.kd",1,0,46,4430,4430,256,256,0,0,12,4,48,64,0x0,0x7dd73af43580,3.6250000000
43,"__amd_rocclr_copyBuffer.kd",1,0,47,4430,4430,512,512,0,0,16,0,32,64,0x7dd73a3fed80,0x7dd73af43600,6.2500000000
44,"__amd_rocclr_fillBufferAligned.kd",1,0,48,4430,4430,256,256,0,0,12,4,48,64,0x0,0x7dd73af43580,4.0000000000
45,"__amd_rocclr_fillBufferAligned.kd",1,0,49,4430,4430,256,256,0,0,12,4,48,64,0x0,0x7dd73af43580,6.7500000000
46,"__amd_rocclr_copyBuffer.kd",1,0,50,4430,4430,512,512,0,0,16,0,32,64,0x7dd73a3fc980,0x7dd73af43600,3.1250000000
47,"__amd_rocclr_fillBufferAligned.kd",1,0,51,4430,4430,512,256,0,0,12,4,48,64,0x0,0x7dd73af43580,10.5000000000
48,"__amd_rocclr_fillBufferAligned.kd",1,0,52,4430,4430,512,256,0,0,12,4,48,64,0x0,0x7dd73af43580,7.2500000000
49,"__amd_rocclr_fillBufferAligned.kd",1,0,53,4430,4430,4096,256,0,0,12,4,48,64,0x0,0x7dd73af43580,33.0000000000
50,"__amd_rocclr_fillBufferAligned.kd",1,0,54,4430,4430,768,256,0,0,12,4,48,64,0x0,0x7dd73af43580,10.8750000000
51,"__amd_rocclr_fillBufferAligned.kd",1,0,55,4430,4430,4096,256,0,0,12,4,48,64,0x0,0x7dd73af43580,33.0000000000
52,"__amd_rocclr_fillBufferAligned.kd",1,0,56,4430,4430,1280,256,0,0,12,4,48,64,0x0,0x7dd73af43580,18.1250000000
53,"__amd_rocclr_fillBufferAligned.kd",1,0,57,4430,4430,33024,256,0,0,12,4,48,64,0x0,0x7dd73af43580,33.0000000000
54,"__amd_rocclr_fillBufferAligned.kd",1,0,58,4430,4430,512,256,0,0,12,4,48,64,0x0,0x7dd73af43580,7.2500000000
55,"__amd_rocclr_fillBufferAligned.kd",1,0,59,4430,4430,2816,256,0,0,12,4,48,64,0x0,0x7dd73af43580,33.0000000000
56,"__amd_rocclr_fillBufferAligned.kd",1,0,60,4430,4430,2048,256,0,0,12,4,48,64,0x0,0x7dd73af43580,29.0000000000
57,"__amd_rocclr_fillBufferAligned.kd",1,0,61,4430,4430,4096,256,0,0,12,4,48,64,0x0,0x7dd73af43580,33.0000000000
58,"__amd_rocclr_fillBufferAligned.kd",1,0,62,4430,4430,25600,256,0,0,12,4,48,64,0x0,0x7dd73af43580,29.0000000000
59,"__amd_rocclr_fillBufferAligned.kd",1,0,63,4430,4430,256,256,0,0,12,4,48,64,0x0,0x7dd73af43580,6.7500000000
60,"__amd_rocclr_fillBufferAligned.kd",1,0,64,4430,4430,256,256,0,0,12,4,48,64,0x0,0x7dd73af43580,3.6250000000
61,"__amd_rocclr_fillBufferAligned.kd",1,0,65,4430,4430,256,256,0,0,12,4,48,64,0x0,0x7dd73af43580,6.7500000000
62,"__amd_rocclr_fillBufferAligned.kd",1,0,66,4430,4430,256,256,0,0,12,4,48,64,0x0,0x7dd73af43580,3.6250000000
63,"__amd_rocclr_fillBufferAligned.kd",1,0,67,4430,4430,256,256,0,0,12,4,48,64,0x0,0x7dd73af43580,6.7500000000
64,"__amd_rocclr_fillBufferAligned.kd",1,0,68,4430,4430,13824,256,0,0,12,4,48,64,0x0,0x7dd73af43580,29.8750000000
65,"__amd_rocclr_fillBufferAligned.kd",1,0,69,4430,4430,16640,256,0,0,12,4,48,64,0x0,0x7dd73af43580,33.0000000000
66,"__amd_rocclr_fillBufferAligned.kd",1,0,71,4430,4430,16640,256,0,0,12,4,48,64,0x0,0x7dd73af43580,33.0000000000
67,"__amd_rocclr_fillBufferAligned.kd",1,0,74,4430,4430,256,256,0,0,12,4,48,64,0x0,0x7dd73af43580,6.7500000000
68,"fleet_probe_xcc(unsigned int*) [clone .kd]",1,1,1,4430,4430,77824,256,0,0,4,4,16,64,0x0,0x7dd73aee0b00,24.5000000000
69,"__amd_rocclr_copyBuffer.kd",1,0,76,4430,4430,512,512,0,0,16,0,32,64,0x7dd73a3fc580,0x7dd73af43600,6.1250000000
70,"__amd_rocclr_copyBuffer.kd",1,0,78,4430,4430,512,512,0,0,16,0,32,64,0x7dd73a3fc480,0x7dd73af43600,6.1250000000
71,"__amd_rocclr_fillBufferAligned.kd",1,0,79,4430,4430,256,256,0,0,12,4,48,64,0x0,0x7dd73af43580,4.7500000000
72,"__amd_rocclr_fillBufferAligned.kd",1,1,4,4430,4430,256,256,0,0,12,4,48,64,0x0,0x7dd73af43580,6.6250000000
73,"fleet_decode_step.kd",1,2,0,4430,4430,77824,256,25600,48,128,216,112,64,0x0,0x7dd73aee0ac0,20755490.6250000000
74,"__amd_rocclr_copyBuffer.kd",1,0,81,4430,4430,1024,1024,0,0,16,0,32,64,0x7dd73a3fc380,0x7dd73af43600,6.1250000000
75,"__amd_rocclr_copyBuffer.kd",1,0,82,4430,4430,512,512,0,0,16,0,32,64,0x7dd73a3fc300,0x7dd73af43600,3.6250000000
76,"__amd_rocclr_copyBuffer.kd",1,0,83,4430,4430,512,512,0,0,16,0,32,64,0x7dd73a3fc280,0x7dd73af43600,6.1250000000
